Mall Name,Tenant
Far East Plaza,Richman LuxuryJewellery & Timepieces#02-34
Far East Plaza,Rise Above Tattoo & PiercingTattoo#04-70
Far East Plaza,RoemApparels / Accessories / Bags / Shoes#03-51
Far East Plaza,Royal EleganceTailor Services#04-33
Far East Plaza,S Q TeaFood & Beverages#01-27
Far East Plaza,S-JuniesApparels / Accessories / Bags / Shoes#03-77
Far East Plaza,Salivan Beauty ClinicManicure & Pedicure#03-57/58
Far East Plaza,"Salivan Master Brow & LashBeauty, Hair & Wellness#04-141"
Far East Plaza,"Salon PlusBeauty, Hair & Wellness#04-08"
Far East Plaza,Sam's Custom TailorTailor Services#02-55
Far East Plaza,"Sandy Hair & Beauty SalonBeauty, Hair & Wellness#04-71"
Far East Plaza,Sapphire SecretApparels / Accessories / Bags / Shoes#03-137B
Far East Plaza,Sara & PatSara & PatApparels / Accessories / Bags / Shoes#01-99
Far East Plaza,Season Top FashionTailor Services#02-74
Far East Plaza,Seasons Traveller ShopSeasons Traveller ShopGeneral Trades#01-66
Far East Plaza,See MeiTailor Services#03-06(SHOP2)
Far East Plaza,"SenseDebelleBeauty, Hair & Wellness#02-02"
Far East Plaza,"Senses Cut HairdressingBeauty, Hair & Wellness#02-51"
Far East Plaza,Shanghai Silk HouseApparels / Accessories / Bags / Shoes#04-39
Far East Plaza,Sheen Watches & JewelryJewellery & Timepieces#04-114
Far East Plaza,SheepographyGift Shops#01-76/77
Far East Plaza,Shihlin Taiwan Street SnacksFood & Beverages#01-16D
Far East Plaza,Shine KoreaGeneral Trades#01-15
Far East Plaza,Shu XiangFood & Beverages#01-22
Far East Plaza,Shukey Services Pte LtdServices & Others#03-05
Far East Plaza,Siew Siew FashionTailor Services#03-97A
Far East Plaza,Silvotino FashionSilvotino FashionApparels / Accessories / Bags / Shoes#04-137AA
Far East Plaza,Singapura WatchesJewellery & Timepieces#02-114
Far East Plaza,SingPost PoPstationServices & Others#01-K7
Far East Plaza,Sixth Sense ApparelApparels / Accessories / Bags / Shoes#01-65
Far East Plaza,"Skin SaqinaBeauty, Hair & Wellness#04-77"
Far East Plaza,Solitaire OfficialTailor Services#04-90
Far East Plaza,Solito FashionsTailor Services#02-95
Far East Plaza,Sower EssentialsGift Shops#01-85 & 01-90
Far East Plaza,SpellboundApparels / Accessories / Bags / Shoes#03-90
Far East Plaza,"Splendor Hair SalonBeauty, Hair & Wellness#02-14"
Far East Plaza,Sports LifeApparels / Accessories / Bags / Shoes#02-05 to 07
Far East Plaza,SS FashionApparels / Accessories / Bags / Shoes#03-31
Far East Plaza,Store Room SGApparels / Accessories / Bags / Shoes#04-21
Far East Plaza,"Studio M+Beauty, Hair & Wellness#01-56"
Far East Plaza,SubwayFood & Beverages#01-36
Far East Plaza,Suit YourselfTailor Services#02-54
Far East Plaza,Sunday StaplesApparels / Accessories / Bags / Shoes#01-58
Far East Plaza,Sunny EyewearGeneral Trade#02-100
Far East Plaza,Susan Gems Singapore Pte LtdJewellery & Timepieces#03-77
Far East Plaza,Swan Jewelry Pte LtdJewellery & Timepieces#03-117
Far East Plaza,T&N Nails and Eyelash BeautyManicure & Pedicure#03-11
Far East Plaza,Talisman'sApparels / Accessories / Bags / Shoes#03-132
Far East Plaza,Tanglin Silk StoreTailor Services#03-110
Far East Plaza,Tat Leong TravelServices & Others#03-10
Far East Plaza,"Team CreativeBeauty, Hair & Wellness#02-92"
Far East Plaza,Terelyn Crystal GalleryJewellery & Timepieces#02-49A
Far East Plaza,The Attic Lifestyle StoreServices & Others#04-146A
Far East Plaza,The Community CoffeeFood & Beverages#02-94
Far East Plaza,The Corner ShopGift Shops#03-16
Far East Plaza,The Curve CultApparels / Accessories / Bags / Shoes#05-126
Far East Plaza,"The Eyebrow CityBeauty, Hair & Wellness#03-68A"
Far East Plaza,"The Hair RoomBeauty, Hair & Wellness#01-35"
Far East Plaza,"The Hair SalonBeauty, Hair & Wellness#04-67"
Far East Plaza,The Heartmany#03-23 & 03-143A
Far East Plaza,The Little Flowers at the end of the RainbowApparels / Accessories / Bags / Shoes#04-122
Far East Plaza,"The Loook SalonBeauty, Hair & Wellness#02-64 & 02-69"
Far East Plaza,The Nail BoxManicure & Pedicure#04-42
Far East Plaza,The Nail LabManicure & Pedicure#03-88
Far East Plaza,The Nail StatusManicure & Pedicure#04-01 & 04-83
Far East Plaza,The One Skin Managementmany#05-42
Far East Plaza,The Sushi BarFood & Beverages#04-28
Far East Plaza,Think TattooTattoo#02-65
Far East Plaza,Three Crowns Jewellery & WatchJewellery & Timepieces#02-36
Far East Plaza,THREE GiraffeApparels / Accessories / Bags / Shoes#02-99
Far East Plaza,Tiara NailManicure & Pedicure#01-53 & 01-57
Far East Plaza,TingsstudioServices & Others#01-97
Far East Plaza,Toh Chwee Huat TradingServices & Others#04-109
Far East Plaza,"Top Secret StudioBeauty, Hair & Wellness#03-61"
Far East Plaza,"Top To Toe CollegeBeauty, Hair & Wellness#04-12 to 14"
Far East Plaza,Top Vision Optics & Contact Lens CentreGeneral Trade#02-17
Far East Plaza,Traders Gems Pte LtdJewellery & Timepieces#02-81
Far East Plaza,"True Eyelash BeautyBeauty, Hair & Wellness#04-138"
Far East Plaza,True Love by HUEApparels / Accessories / Bags / Shoes#04-142
Far East Plaza,"U-One SalonBeauty, Hair & Wellness#04-131A"
Far East Plaza,United Overseas Bank Limited (ATM)Services & Others#01-K5
Far East Plaza,Universal OpticalServices & Others#04-123
Far East Plaza,V & N BeautyManicure & Pedicure#03-98B
Far East Plaza,V.BjornApparels / Accessories / Bags / Shoes#04-97A
Far East Plaza,V&N BeautyManicure & Pedicure#04-25
Far East Plaza,"Vain BeautyBeauty, Hair & Wellness#03-113"
Far East Plaza,VeronicaApparels / Accessories / Bags / Shoes#03-54
Far East Plaza,Vic CollectionApparels / Accessories / Bags / Shoes#02-03
Far East Plaza,VimobileElectronics & Printing#03-70B
Far East Plaza,VISA Consultant ServicesServices & Others#04-133
Far East Plaza,"Vogue CoiffureBeauty, Hair & Wellness#02-18"
Far East Plaza,Vogue In StyleApparels / Accessories / Bags / Shoes#03-112
Far East Plaza,Walk InApparels / Accessories / Bags / Shoes#04-45
Far East Plaza,"Walk In SalonBeauty, Hair & Wellness#04-60"
Far East Plaza,Wanyin Pte LtdElectronics & Printing#02-48
Far East Plaza,"WARSBeauty, Hair & Wellness#02-90"
Far East Plaza,Watch LinkJewellery & Timepieces#03-79
Far East Plaza,Watsons Personal Care & StoreHealth & Pharmacies#02-43
Far East Plaza,Wawa PlanetGift Shops#01-38
Far East Plaza,"Wax DivaBeauty, Hair & Wellness#04-137A2"
Far East Plaza,Wei Wei Beauty StudioManicure & Pedicure#03-75
Far East Plaza,"White House BeautyBeauty, Hair & Wellness#04-66"
Far East Plaza,WhyMobile TelecommunicationsElectronics & Printing#03-126
Far East Plaza,Woohu Tea RoomFood & Beverages#01-41
Far East Plaza,Worth It Closetmany#03-97B
Far East Plaza,Wow Wow 5Apparels / Accessories / Bags / Shoes#03-134
Far East Plaza,Wrap In A BoxApparels / Accessories / Bags / Shoes#03-29
Far East Plaza,WristWristJewellery & Timepieces#03-51
Far East Plaza,X CraftApparels / Accessories / Bags / Shoes#01-87/88
Far East Plaza,Xiang Fa TradingJewellery & Timepieces#02-24B
Far East Plaza,Xiu Craft & SewingApparels / Accessories / Bags / Shoes#01-86
Far East Plaza,Y by YannApparels / Accessories / Bags / Shoes#03-07
Far East Plaza,Y S JewelleryJewellery & Timepieces#02-20
Far East Plaza,Ya Kun Kaya ToastFood & Beverages#01-16
Far East Plaza,Yan Ji Seafood SoupFood & Beverages#01-16A/B
Far East Plaza,YASApparels / Accessories / Bags / Shoes#04-115/116
Far East Plaza,YuanApparels / Accessories / Bags / Shoes#03-24B
Far East Plaza,Yuan ChaFood & Beverages#01-39
Far East Plaza,Yunos Money ChangerGeneral Trade#02-42
Far East Plaza,Yusof & Arni's Cafemany#05-67
Far East Plaza,ZoeyApparels / Accessories / Bags / Shoes#03-123C
Far East Plaza,Blog
Far East Plaza,Money Changers
Far East Plaza,About Us
Far East Plaza,Contact Us
Far East Plaza,Terms and Conditions
Far East Plaza,Privacy Policy
Forum The Shopping Mall,"7-ElevenServices / ConvenienceOutdoor Kiosk, #01-K4"
Forum The Shopping Mall,75cl @ ForumFood & Beverage#B1-18
Forum The Shopping Mall,Align Dental SurgeryHealth & Beauty#01-07 to 09
Forum The Shopping Mall,All That Jazz Dance AcademyJunior#02-05 to 07
Forum The Shopping Mall,Arium Clinic - Aesthetics & Wellness by Dr DonnaHealth & Beauty#02-26
Forum The Shopping Mall,"Aureus AcademyJunior#B1-01 to 04, #03-16 to 25"
Forum The Shopping Mall,Bloom Nail GardenHair & Beauty#02-31
Forum The Shopping Mall,"BonpointJunior, Fashion#02-11 to 13"
Forum The Shopping Mall,Books Ahoy!Junior#02-03/04
Forum The Shopping Mall,"CapezioJunior, Fashion#02-17"
Forum The Shopping Mall,Capitol OpticalOptical#B1-17
Forum The Shopping Mall,"Chengzhu Mandarin CentreToys, Books & Enrichment#04-01"
Forum The Shopping Mall,"Children’s WorklabToys, Books & Enrichment#02-K1"
Forum The Shopping Mall,Citibank ATMServices / Convenience#01-K5
Forum The Shopping Mall,EAT.Food & Beverage#B1-31/32
Forum The Shopping Mall,EGA Juice ClinicHealth & Beauty#B1-11
Forum The Shopping Mall,FLEXAJunior#02-19
Forum The Shopping Mall,FotoHubServices / Convenience#B1-22
Forum The Shopping Mall,Glow CafeFood & Beverage#B1-05 & B1-09
Forum The Shopping Mall,Gyu San Japanese Sando & Charcoal BarFood & Beverage#01-28
Forum The Shopping Mall,HanaFood & Beverage#01-17
Forum The Shopping Mall,Hana IZAKAYAFood & Beverage#01-20/21
Forum The Shopping Mall,Hip Kids PlayJunior#LEVEL02
Forum The Shopping Mall,Jade Palace Seafood RestaurantFood & Beverage#B1-12 to 15
Forum The Shopping Mall,Jewels GalleriaJewellery#01-44
Forum The Shopping Mall,"Julia Gabriel CentreToys, Books & Enrichment#04-00"
Forum The Shopping Mall,"Kids21Junior, Fashion#02-24"
Forum The Shopping Mall,Kind KonesFood & Beverage#B1-27 & B1-K1
Forum The Shopping Mall,"KyungHee TaekwondoToys, Books & Enrichment#02-33"
Forum The Shopping Mall,LACmany#B1-23
Forum The Shopping Mall,LINOFood & Beverage#01-01 to 04
Forum The Shopping Mall,"Little GroundJunior, Fashion#01-12 to 14"
Forum The Shopping Mall,LittleRedDotHair & Beauty#02-35/36
Forum The Shopping Mall,"MathnasiumToys, Books & Enrichment#02-01/02"
Forum The Shopping Mall,McDonald'smany#B1-25
Forum The Shopping Mall,"MinkmuiJunior, Fashion#02-22"
Forum The Shopping Mall,Mother & Child WellnessHealth & Beauty#02-34
Forum The Shopping Mall,"Nomi Dining Bar by NozomiFood & Beverage(Enter through Nozomi at #01-41), #B1-39"
Forum The Shopping Mall,Nozomi by YoshiFood & Beverage#01-41 to 43
Forum The Shopping Mall,Olive Tree Baby and Kids ClinicHealth & Beauty#02-08/09
Forum The Shopping Mall,"Pita Tree Mediterranean Grilled KebabsFood & Beverage(Outdoor Kiosk), #01-K3"
Forum The Shopping Mall,PlayhaoJunior#02-15 & 02-22
Forum The Shopping Mall,Scarlet & EbonyFashion#01-15/16
Forum The Shopping Mall,Scissors Paper StoneHair & Beauty#02-18
Forum The Shopping Mall,See's CandiesFood & Beverage#01-K2
Forum The Shopping Mall,SHS Hair Studio PrestigeHair & Beauty#02-14
Forum The Shopping Mall,SHS Scalp StudioHair & Beauty#02-16
Forum The Shopping Mall,SingoraFashion#01-05/06
Forum The Shopping Mall,Social PlaceFood & Beverage#01-22
Forum The Shopping Mall,SuperNatureHealth & Beauty#B1-05 & B1-09
Forum The Shopping Mall,The Coffee Bean & Tea LeafFood & Beverage#01-45/46
Forum The Shopping Mall,The Horse's MouthFood & Beverage#B1-39
Forum The Shopping Mall,"The Kidz StationJunior, Toys, Books & Enrichment#02-37"
Forum The Shopping Mall,"The Little GymJunior, Toys, Books & Enrichment#B1-24"
Forum The Shopping Mall,"The Toy FolksJunior, Toys, Books & Enrichment#B1-10"
Forum The Shopping Mall,Therapeutics AromaHealth & Beauty#03-01
Forum The Shopping Mall,"Toys”R”UsToys, Books & Enrichment, Junior#03-03 to 15"
Forum The Shopping Mall,VitaKidsHealth & Beauty#B1-26
Forum The Shopping Mall,W OPTICSOptical#01-26/27 & 01-35 to 37
Forum The Shopping Mall,WatsonsHealth & Beauty#B1-20/21
Forum The Shopping Mall,Xpress Convenience StoreServices / Convenience#B1-19
Forum The Shopping Mall,Blog
Forum The Shopping Mall,Money Changers
Forum The Shopping Mall,About Us
Forum The Shopping Mall,Contact Us
Forum The Shopping Mall,Terms and Conditions
Forum The Shopping Mall,Privacy Policy
Forum The Shopping Mall,Directory
Forum The Shopping Mall,Deals
Forum The Shopping Mall,About
Funan,1GravityBeauty & Wellness#B1-14
Funan,5 Senses BistroFood & Beverage#02-17
Funan,A Gan Guo KuiFood & Beverage#B2-K05
Funan,ABC Cooking StudioHobbies & Leisure#02-29
Funan,AfuriFood & Beverage#B1-29
Funan,Ajumma'sFood & Beverage#B1-31
Funan,Alan PhotoElectronics & Technology#03-29
Funan,AMDElectronics & Technology#03-27
Funan,Audio-TechnicaElectronics & Technology#03-K10
Funan,Beijing 101Beauty & Wellness#B1-18
Funan,Benjamin BarkerFashion#02-26/27
Funan,"BERNINAHobbies & Leisure, Electronics & Technology#03-K03"
Funan,"Best DenkiElectronics & Technology#02-16, #03-16"
Funan,Beyond FruitFood & Beverage#B2-K15
Funan,Beyond The VinesFashion#02-08
Funan,Big AppetiteFood & Beverage#B2-24
Funan,Bizen Okayama Wagyu SteakhouseFood & Beverage#B2-22
Funan,BLAXKHobbies & Leisure#01-03
Funan,Boost Juice BarsFood & Beverage#B2-K14
Funan,BOSEElectronics & Technology#03-23A
Funan,Brompton JunctionSports#01-26
Funan,Butter BeanFood & Beverage#01-01
Funan,Butterknife FolkFood & Beverage#02-02
Funan,Celmonze Signature AestheticBeauty & Wellness#B1-36
Funan,CHAGEEFood & Beverage#02-K07
Funan,ChateraiseFood & Beverage#B2-07
Funan,CHOKMAHHobbies & Leisure#02-K10
Funan,Churros RepublicFood & Beverage#B2-K08
Funan,Climb CentralHobbies & Leisure#B2-19 & B2-21
Funan,COURTSElectronics & Technology#03-01 to 07
Funan,CR GroupElectronics & Technology#03-K06
Funan,Dal.komm COFFEEFood & Beverage#03-17
Funan,Deli BowlFood & Beverage#02-06
Funan,Dell Exclusive StoreElectronics & Technology#03-30
Funan,DJIElectronics & Technology#03-25
Funan,Drumstruck StudiosHobbies & Leisure#04-15
Funan,Dunkin' DonutsFood & Beverage#B2-05
Funan,DysonElectronics & Technology#01-27
Funan,ESINEYElectronics & Technology#03-K01
Funan,Eventasty一碗田 Noodle BarFood & Beverage#01-13
Funan,ExpressionsBeauty & Wellness#B1-15
Funan,FairPrice FinestSupermarket & Specialty Mart#B1-10
Funan,Fash MobFashion#02-12
Funan,Five Foot LaneFood & Beverage#B2-18
Funan,Flavours by SautéFood & Beverage#B1-30
Funan,Flight ExperienceHobbies & Leisure#03-K05
Funan,Fruit ParadiseFood & Beverage#01-11
Funan,Functional Health CentreServices#04-13
Funan,Futurum AcademyHobbies & Leisure#02-K05 & 02-13
Funan,Gain CityElectronics & Technology#03-11 & 03-K08
Funan,GamemartzElectronics & Technology#03-10
Funan,GamePro ShopElectronics & Technology#03-15
Funan,GarminFashion#03-26
Funan,GodmamaFood & Beverage#04-07
Funan,Golden VillageHobbies & Leisure#05-01
Funan,Gong ChaFood & Beverage#02-01
Funan,Gong Yuan Ma La TangFood & Beverage#B2-08/09
Funan,GRAFUNKTHome & Furnishing#04-01 to 27
Funan,Guardian Health & BeautyBeauty & Wellness#B2-16
Funan,Guzman Y GomezFood & Beverage#B1-35
Funan,GyoGyoFood & Beverage#B1-34
Funan,HealSpaBeauty & Wellness#B2-17
Funan,Herschel Supply Co.Fashion#01-22/23
Funan,HOLOGATE SingaporeHobbies & Leisure#04-K01
Funan,Hydro FlaskSports#02-K09
Funan,I'M INFashion#02-23
Funan,"Infinito AtrixElectronics & Technology#03-23/K04, #B2-01 to 04 & B2-34 to 36"
Funan,iStudioElectronics & Technology#02-07
Funan,IuigaHome & Furnishing#B2-15
Funan,Japan IPL EXPRESSBeauty & Wellness#B2-33
Funan,JDSports#01-07/08
Funan,KAZOFood & Beverage#B2-K02
Funan,Kebabs FaktoryFood & Beverage#02-31
Funan,KIMOJFashion#02-K01
Funan,Koong Woh TongBeauty & Wellness#B1-11
Funan,LAC Nutrition for LifeBeauty & Wellness#B1-12
Funan,Legendary Hong KongFood & Beverage#B1-28
Funan,Lenovo Flagship StoreElectronics & Technology#03-19/20
Funan,LenskartFashion#B1-08/09
Funan,LeNu Chef Wai’s Noodle BarFood & Beverage#B1-22
Funan,Liang Yi (良医)Services#B1-06
Funan,LiHOFood & Beverage#B2-K04
Funan,Little Caesars PizzaFood & Beverage#01-18
Funan,Little Ribbons Pasta Co.Food & Beverage#B2-K11
Funan,"Love, BonitoFashion#02-09"
Funan,Mac.InfinityElectronics & Technology#03-24
Funan,MachenikeElectronics & Technology#03-28
Funan,Makanan BollywoodFood & Beverage#B2-23
Funan,May Tailor & LaundryServices#B1-21
Funan,McDonald'sFood & Beverage#01-16/17 & 01-21
Funan,MELODepartment Store & Value Store#02-21
Funan,MENDONFood & Beverage#B2-K10
Funan,Mi StoreElectronics & Technology#03-08
Funan,MilkshaFood & Beverage#B1-25
Funan,Mint Medical CentreServices#04-13A
Funan,MoominBeauty & Wellness#B1-19
Funan,MOS Burger ExpressFood & Beverage#02-37/38
Funan,N.CatFashion#02-28
Funan,Nailz TreatsBeauty & Wellness#02-30
Funan,Nasty CookieFood & Beverage#02-35
Funan,Nikon Experience HubElectronics & Technology#03-13
Funan,NokaFood & Beverage#07-3839
Funan,Old Chang KeeFood & Beverage#B2-K06
Funan,Outdoor LifeSports#02-20
Funan,Paradise DynastyFood & Beverage#B1-01
Funan,Phone NationElectronics & Technology#B2-30
Funan,PhotomaticServices#02-11
Funan,PLAIN SUPPLIES LabFashion#02-10
Funan,Pop MartHobbies & Leisure#01-02
Funan,Porcelain SpaBeauty & Wellness#04-19 to 21
Funan,Potato CornerFood & Beverage#B2-K13
Funan,PPP CoffeeFood & Beverage#02-19
Funan,PRIX SalonBeauty & Wellness#B1-16
Funan,Q & M Dental CentreServices#B1-38 & B1-37
Funan,Qi JiFood & Beverage#B2-12
Funan,QUICK GREENSFood & Beverage#02-04
Funan,Raffles Coffee and Toast (瑞福)Food & Beverage#B2-11
Funan,RAY-BANFashion#01-K01
Funan,RazerStoreElectronics & Technology#01-10
Funan,RefashFashion#02-14
Funan,RSL - Rock School LondonHobbies & Leisure#04-10
Funan,Saap Saap ThaiFood & Beverage#B1-33
Funan,Samsonite Work PackFashion#01-24
Funan,Sanook KitchenFood & Beverage#B2-26
Funan,Sealy Sleep BoutiqueHome & Furnishing#03-14
Funan,Singapore PoolsServices#B1-02
Funan,SingtelServices#B2-27
Funan,Sinpopo BrandFood & Beverage#01-K02
Funan,Skin BeliefBeauty & Wellness#B1-41
Funan,Smile DessertFood & Beverage#02-03
Funan,Smile MartabakFood & Beverage#02-34
Funan,SMOOYFood & Beverage#B2-K09
Funan,Sonata DancewearHobbies & Leisure#02-25
Funan,Standard PhotoServices#B1-39
Funan,stuff'dFood & Beverage#B2-K03
Funan,SubwayFood & Beverage#B2-10
Funan,SUKIYAFood & Beverage#B1-32
Funan,Super CocoFood & Beverage#B2-K16
Funan,SuperdryFashion#01-06
Funan,Sushi ExpressFood & Beverage#B2-14
Funan,Syoujin 匠人Beauty & Wellness#B1-13
Funan,T K FOTOElectronics & Technology#03-09
Funan,TamJai SamGor MixianFood & Beverage#B1-24
Funan,Tanuki RawFood & Beverage#04-26
Funan,TFXSports#04-18
Funan,The AlleyFood & Beverage#02-36
Funan,The Ark FutsalHobbies & Leisure#07-37
Funan,The Collector BaseHobbies & Leisure#04-14
Funan,The Dark GalleryFood & Beverage#01-14
Funan,The Experts GroupElectronics & Technology#04-09
Funan,The Green CapsuleHobbies & Leisure#04-11
Funan,The Green CollectiveDepartment Store & Value Store#02-18
Funan,The Kiap Kiap PlaceHobbies & Leisure#04-16
Funan,The Oyster BankFood & Beverage#02-32
Funan,The Smell LabBeauty & Wellness#02-K04
Funan,The Tree CafeFood & Beverage#02-33
Funan,THEIMPRINT.SGHobbies & Leisure#02-K08
Funan,Think#02-15
Funan,Tiong Bahru Bakery DINERFood & Beverage#04-22 to 25
Funan,TOAST BOXFood & Beverage#B1-27
Funan,TOMSFashion#01-25
Funan,Tonkotsu KazanFood & Beverage#B1-23
Funan,TOPSPEED Racing ClubHobbies & Leisure#03-K09
Funan,Trehaus CaféFood & Beverage#07-28
Funan,UNDER ARMOURSports#01-09
Funan,VivoElectronics & Technology#03-18
Funan,WardrobemessFashion#02-24
Funan,WatsonsBeauty & Wellness#B1-07
Funan,WayangFood & Beverage#B2-K07
Funan,White30Services#B1-19
Funan,WILD RICEHobbies & Leisure#04-08
Funan,Wingstopmany#02-04
Funan,Wok HeyFood & Beverage#B2-K01
Funan,Wooderful LifeHobbies & Leisure#02-K06
Funan,Xi Men Jie 西門街Food & Beverage#B2-13
Funan,Ya Kun Kaya ToastFood & Beverage#B2-06
Funan,Yakiniku ShokudoFood & Beverage#B2-25
Funan,Yan Ji Gourmet Seafood SoupFood & Beverage#02-05
Funan,Yi Atelier of BrowsBeauty & Wellness#B1-40
Funan,Young Hungry FreeFashion#02-K02/K03
Funan,Yumeno SutejiFood & Beverage#01-20 & 01-19
Funan,ZoffFashion#01-28
Funan,Blog
Funan,Money Changers
Funan,About Us
Funan,Contact Us
Funan,Terms and Conditions
Funan,Privacy Policy
Funan,Directory
Funan,Deals
Funan,About
Great World City,"1A HeritageFood & Beverages, Takeaways & Food Court#B1-K128"
Great World City,"365 Juices BarFood & Beverages, Takeaways & Food Court#B1-K112"
Great World City,"6IXTY8IGHTFashion, Bags & Shoes#01-147"
Great World City,7-ElevenServices & Others#01-154
Great World City,"8 by Bottles & BottlesConfectionery, Deli & Specialty Food, Food & Beverages#01-K101"
Great World City,"Abrakadoodle Art StudioKids, Toys & Education#03-104"
Great World City,"All The Batter - Avocado FoodsConfectionery, Deli & Specialty Food, Food & Beverages#B1-K124"
Great World City,"AmazoniaKids, Toys & Education#03-113"
Great World City,"Apgujeong Hair StudioPersonal Care, Beauty & Wellness#02-109"
Great World City,"ARKIDENTALPersonal Care, Beauty & Wellness#03-123"
Great World City,"ASPIRE HUBKids, Toys & Education#03-122"
Great World City,"Aveda Micro Experience CenterPersonal Care, Beauty & Wellness#01-K108"
Great World City,"Awfully ChocolateConfectionery, Deli & Specialty Food, Food & Beverages#01-K102"
Great World City,"Baker's BrewConfectionery, Deli & Specialty Food, Food & Beverages#B1-K103"
Great World City,"Bangkok JamFood & Beverages, Restaurants#02-127"
Great World City,"BATH & BODY WORKSPersonal Care, Beauty & Wellness#01-133"
Great World City,"Beard Papa'sFood & Beverages, Takeaways & Food Court#B1-K126"
Great World City,"Bed Bath N' TableHome & Living, Electronics & Telecommunications#02-125"
Great World City,"Bee Cheng HiangConfectionery, Deli & Specialty Food, Food & Beverages#B1-130"
Great World City,"Best DenkiHome & Living, Electronics & Telecommunications#02-134"
Great World City,"Black Society Dimsum Kitchen 黑社會點心小廚Food & Beverages, Restaurants#01-121"
Great World City,"BliingEyewear, Jewellery & Watches#01-173"
Great World City,"Boost Juice BarsFood & Beverages, Takeaways & Food Court#B1-K127"
Great World City,"BreadtalkConfectionery, Deli & Specialty Food, Food & Beverages#B1-105"
Great World City,"BrowhausPersonal Care, Beauty & Wellness#03-112"
Great World City,"Capitol OpticalEyewear, Jewellery & Watches#02-110"
Great World City,"Cedele All Day DiningBistros, Cafes & Casual Dining, Food & Beverages#B1-K115"
Great World City,"ChallengerHome & Living, Electronics & Telecommunications#02-129/130"
Great World City,"Chateau De SableKids, Toys & Education#02-119"
Great World City,"ChâteraiséConfectionery, Deli & Specialty Food, Food & Beverages#01-116"
Great World City,"Chin Sin Huan 振新园Food & Beverages, Takeaways & Food Court#B1-K102"
Great World City,"Chiropractic FirstPersonal Care, Beauty & Wellness#03-121"
Great World City,"CHOMELEyewear, Jewellery & Watches#01-174"
Great World City,"CLARINSPersonal Care, Beauty & Wellness#01-167/168"
Great World City,Click Photo IdeasServices & Others#B2-K101
Great World City,"COLLIN'SBistros, Cafes & Casual Dining, Food & Beverages#B1-106/107"
Great World City,"Cosmo Hair & BeautyPersonal Care, Beauty & Wellness#03-120"
Great World City,"Cotton On KidsKids, Toys & Education#02-116"
Great World City,"Crystal Jade Hong Kong KitchenFood & Beverages, Restaurants#03-127"
Great World City,CS FreshSupermarket#B1-139
Great World City,"Curious CreaturesEyewear, Jewellery & Watches#01-175"
Great World City,"Da Paolo GastronomiaFood & Beverages, Restaurants#01-163"
Great World City,DBS Digital LobbyServices & Others#01-126
Great World City,"Din Tai FungFood & Beverages, Restaurants#01-138"
Great World City,"Dr.stretchPersonal Care, Beauty & Wellness#02-101"
Great World City,"elemen ClassicFood & Beverages, Restaurants#01-122"
Great World City,"Eu Yan SangPersonal Care, Beauty & Wellness#B1-137"
Great World City,"Evergreen StationeryBooks, Gifts & Hobbies#02-135"
Great World City,"Evolve SalonPersonal Care, Beauty & Wellness#03-102"
Great World City,Exquisites JewelsJewellery & Watches#01-146
Great World City,"Family-ComBooks, Gifts & Hobbies#02-136"
Great World City,"Famous AmosConfectionery, Deli & Specialty Food, Food & Beverages#B1-K101"
Great World City,"Flaming QueenHome & Living, Electronics & Telecommunications#02-K103"
Great World City,"FONDFashion, Bags & Shoes#01-161"
Great World City,"Food JunctionFood & Beverages, Takeaways & Food Court#03-116"
Great World City,"Gadget MixHome & Living, Electronics & Telecommunications#02-147/148"
Great World City,"Gear Up / Beach BodySports, Leisure & Entertainment#01-109"
Great World City,"Gifts GreetingsBooks, Gifts & Hobbies#02-126"
Great World City,"GINLEEFashion, Bags & Shoes#01-145"
Great World City,"Ginza AnzuFood & Beverages, Restaurants#01-113/114"
Great World City,"Gokoku Japanese BakeryConfectionery, Deli & Specialty Food, Food & Beverages#B1-136"
Great World City,"Golden Village GrandSports, Leisure & Entertainment#03-125"
Great World City,"Gong ChaFood & Beverages, Takeaways & Food Court#B1-K104"
Great World City,"Goobne Chicken KoreaFood & Beverages, Restaurants#01-115"
Great World City,GR Money ExchangeServices & Others#B2-K104
Great World City,"Guardian Health & BeautyPersonal Care, Beauty & Wellness#B1-122"
Great World City,Hands Singapore#02-144
Great World City,"Henri CharpentierHome & Living, Electronics & Telecommunications#01-K103"
Great World City,"Hockhua TonicPersonal Care, Beauty & Wellness#B1-116/117"
Great World City,Hokkaido Dosanko Plaza by Meidi-YaSupermarket#B2-101
Great World City,"HomesToLifeHome & Living, Electronics & Telecommunications#02-133"
Great World City,"HoneyWorld®Confectionery, Deli & Specialty Food, Food & Beverages#B1-K108"
Great World City,"HoogaHome & Living, Electronics & Telecommunications#02-131"
Great World City,"Hot Yoga Studio LAVASports, Leisure & Entertainment#02-102/103"
Great World City,"Hototogisu RamenFood & Beverages, Restaurants#01-143"
Great World City,HSBC ATMServices & Others#B2-K110
Great World City,"HyssesPersonal Care, Beauty & Wellness#01-165"
Great World City,"Ichiban BoshiFood & Beverages, Restaurants#B1-131"
Great World City,"Imperial Treasure Cantonese CuisineFood & Beverages, Restaurants#02-111/112"
Great World City,"Imperial Treasure Steamboat RestaurantFood & Beverages, Restaurants#01-140"
Great World City,"issho izakayaFood & Beverages, Restaurants#01-123"
Great World City,"iStudioHome & Living, Electronics & Telecommunications#01-150"
